hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY,postTime
13216401,"39.904461,116.424042",238,http://bj.xiaozhu.com/fangzi/13216401.html,整租,4,东城东兴隆街,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,35,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,bj,
1196021454,"39.917625,116.556999",238,http://bj.xiaozhu.com/fangzi/1196021454.html,单间出租,2,朝阳定福庄西街,1181675135,http://www.xiaozhu.com/fangdong/1181675135/,1,40,4室2厅2卫0厨3阳台,4,2,2,0,3,2,4,可能与其他房客分住不同房间,1,bj,2015-07-08
445128701,"39.925117,116.509109",238,http://bj.xiaozhu.com/fangzi/445128701.html,单间出租,2,朝阳朝阳北路,266792000,http://www.xiaozhu.com/fangdong/266792000/,1,30,2室2厅2卫1厨3阳台,2,2,2,1,3,2,4,可能与其他房客分住不同房间,2,bj,2014-07-19
13214942,"39.90189,116.420815",238,http://bj.xiaozhu.com/fangzi/13214942.html,整租,4,东城都市馨园,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,40,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,bj,
1208109604,"39.983859,116.386346",238,http://bj.xiaozhu.com/fangzi/1208109604.html,单间出租,4,海淀牡丹园北里4号楼都景苑小区(健德门地铁西北口700米),574120900,http://www.xiaozhu.com/fangdong/574120900/,1,20,3室2厅2卫1厨2阳台,3,2,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
3230582229,"39.869582,116.436548",238,http://bj.xiaozhu.com/fangzi/3230582229.html,单间出租,0,丰台芳群园二区22号楼,1209820905,http://www.xiaozhu.com/fangdong/1209820905/,1,28,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
1742820335,"39.922039,116.4356",238,http://bj.xiaozhu.com/fangzi/1742820335.html,单间出租,1,东城建国门,1014465760,http://www.xiaozhu.com/fangdong/1014465760/,1,15,3室2厅2卫1厨1阳台,3,2,2,1,1,3,4,可能与其他房客分住不同房间,1,bj,
76512001,"39.899948,116.343117",238,http://bj.xiaozhu.com/fangzi/76512001.html,整租,4,西城荣丰2008小区,62927200,http://www.xiaozhu.com/fangdong/62927200/,2,37,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,2,bj,2013-05-11
1242262135,"40.028321,116.276416",238,http://bj.xiaozhu.com/fangzi/1242262135.html,单间出租,4,海淀天秀路裕隆新村小区,914764259,http://www.xiaozhu.com/fangdong/914764259/,1,12,3室1厅1卫1厨2阳台,3,1,1,1,2,2,4,可能与其他房客分住不同房间,1,bj,
4442194714,"39.904133,116.151785",238,http://bj.xiaozhu.com/fangzi/4442194714.html,整租,1,门头沟龙兴南二路6号院下x号楼,4438947513,http://www.xiaozhu.com/fangdong/4438947513/,2,87,2室1厅1卫1厨1阳台,2,1,1,1,1,5,5,房客独享整套房屋,3,bj,
487232201,"39.824924,116.305084",238,http://bj.xiaozhu.com/fangzi/487232201.html,整租,4,丰台六圈路,280736000,http://www.xiaozhu.com/fangdong/280736000/,2,50,1室0厅1卫1厨0阳台,1,0,1,1,0,3,5,房客独享整套房屋,3,bj,2014-08-12
11822800,"39.901386,116.420563",238,http://bj.xiaozhu.com/fangzi/11822800.html,整租,4,北京市东城区崇文门地铁旁东兴隆街,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,30,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,bj,
65053401,"39.902012,116.421349",238,http://bj.xiaozhu.com/fangzi/65053401.html,整租,4,东城地铁崇文门站,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,35,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
677777701,"39.902874,116.421539",238,http://bj.xiaozhu.com/fangzi/677777701.html,整租,4,东城崇文门新世界西侧,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,30,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
4726343914,"40.023487,116.350488",238,http://bj.xiaozhu.com/fangzi/4726343914.html,整租,0,海淀双清路八家嘉园,4646412113,http://www.xiaozhu.com/fangdong/4646412113/,2,64,1室1厅1卫1厨1阳台,1,1,1,1,1,3,5,房客独享整套房屋,2,bj,
11612400,"39.871822,116.428146",238,http://bj.xiaozhu.com/fangzi/11612400.html,整租,4,北京市丰台区方庄蒲芳路9号,11181200,http://www.xiaozhu.com/fangdong/11181200/,2,30,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
11828000,"39.901508,116.420441",238,http://bj.xiaozhu.com/fangzi/11828000.html,整租,4,北京市东城区崇文门地铁旁东兴隆街,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,30,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,bj,
4591294714,"39.998016,116.494065",238,http://bj.xiaozhu.com/fangzi/4591294714.html,单间出租,0,朝阳望京国风北京604号楼,2714243163,http://www.xiaozhu.com/fangdong/2714243163/,1,15,3室1厅1卫1厨1阳台,3,1,1,1,1,2,4,可能与其他房客分住不同房间,1,bj,
4046354430,"39.730392,116.175591",238,http://bj.xiaozhu.com/fangzi/4046354430.html,整租,1,房山书院南街10号院,2419234263,http://www.xiaozhu.com/fangdong/2419234263/,2,85,2室1厅1卫1厨1阳台,2,1,1,1,1,4,5,房客独享整套房屋,2,bj,
4132630029,"39.863445,116.536779",238,http://bj.xiaozhu.com/fangzi/4132630029.html,整租,1,朝阳垡头化工路建工双合家园,2434675163,http://www.xiaozhu.com/fangdong/2434675163/,2,94,2室1厅1卫1厨0阳台,2,1,1,1,0,4,5,房客独享整套房屋,2,bj,
309743101,"39.925385,116.509155",238,http://bj.xiaozhu.com/fangzi/309743101.html,单间出租,1,朝阳朝阳北路,266792000,http://www.xiaozhu.com/fangdong/266792000/,1,30,3室1厅2卫1厨4阳台,3,1,2,1,4,2,4,可能与其他房客分住不同房间,2,bj,2014-04-23
634562801,"39.903461,116.421555",238,http://bj.xiaozhu.com/fangzi/634562801.html,整租,4,东城东兴隆街,634528700,http://www.xiaozhu.com/fangdong/634528700/,2,30,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
11815400,"39.901398,116.42025",238,http://bj.xiaozhu.com/fangzi/11815400.html,整租,2,北京市东城区崇文门地铁旁东兴隆街,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,30,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,bj,
5215892313,"39.950202,116.440274",238,http://bj.xiaozhu.com/fangzi/5215892313.html,单间出租,0,朝阳金泰大厦,3377652429,http://www.xiaozhu.com/fangdong/3377652429/,1,25,2室2厅2卫1厨1阳台,2,2,2,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
635138501,"39.903379,116.421606",238,http://bj.xiaozhu.com/fangzi/635138501.html,整租,2,东城东兴隆街,634528700,http://www.xiaozhu.com/fangdong/634528700/,2,30,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
