"sight_name","sight_id","level","location","price","score","num_comment","city_id","address"
"东方鳄鱼谷","2053153223","0","120.965793,31.272164","0","5","1","suzhou","江苏省苏州市昆山市长江南路与恒丰路交叉口"
"乌江画廊","2053355745","0","108.361476,28.902907","0","4.7","322","chongqing","重庆市酉阳县龚滩古镇新牌坊一路"
"丁山湖","2053880528","0","106.599131,28.718682","0","3","1","chongqing","重庆市綦江县丁山镇"
"越城遗址","2053938681","0","120.59491999456,31.256815402042","0","0","0","suzhou","江苏省苏州市吴中区石湖北越来溪东"
"李公堤","2054530707","0","120.688578,31.308799","0","0","0","suzhou","江苏省苏州市吴中区李公堤路附近"
"山里人家","205520145","0","120.209259,30.111732","0","0","0","hangzhou","浙江省杭州市萧山湘湖农场大湾路"
"大都饭店洗浴中心","2056342865","0","116.145766,40.143805","0","5","1","beijing","北京市昌平区阳坊镇阳坊大都饭店B座地下1层"
"海淀哈皮小孩","2056398862","0","116.371012,40.0655","0","4.5","6","beijing","北京市海淀区西三旗新都环岛西路新都购物广场"
"慕云峰","2057032585","0","120.69341059957,31.167712503859","0","0","0","suzhou","江苏苏州吴江市静思园"
"古爬行动物展区","2058190238","0","116.340646,39.943401","0","0","0","beijing","北京市西城区西直门外大街中国古动物馆内"
"小塘水滑","2058259511","0","106.58523888329,29.428771284027","0","0","0","chongqing","重庆市巴南区南温泉风景区西"
"成都市妇女儿童中心剧场","2058276277","0","103.67341866075,31.024301161917","0","0","0","chengdu","四川省成都都江堰市妇女儿童活动中心"
"馨月珏纳米汗蒸房","2058969453","0","116.520366,39.934804","0","0","0","beijing","北京市朝阳区青年路西里（润风水尚）5号院14号楼3单元105室"
"北京田义墓博物馆","205922855","0","116.164663,39.941118","0","4.5","20","beijing","北京石景山区翠微山脚下，模式口大街80号"
"莲花路易芬妮SPA会所","2059397574","0","116.449569,39.926","0","0","0","beijing","北京市朝阳区日坛北路日坛国际酒店B1层"
"星光影视基地","2059450106","0","116.37601000968,39.784053608011","0","0","0","beijing","北京市大兴区西红门北兴路东段2号"
"北展宾馆","2060227143","0","116.352898,39.947541","0","0","0","beijing","北京市西直门外大街135号"
"孚郡王府","2061612214","0","116.431369,39.930784","0","0","0","beijing","北京市东城区朝阳门内大街137号"
"绿景塘","2061803166","0","119.81949515301,30.327502456982","0","0","0","hangzhou","浙江省杭州市余杭区径山镇绿景村"
"铁壁银山","2061992443","0","116.333507,40.330688","0","0","0","beijing","北京市昌平区下庄乡湖门村北"
"昌平昌盛采摘园","2062106180","0","116.23293188166,40.238531583197","0","0","0","beijing","北京市昌平区昌盛采摘园"
"北京龙兴康乐家园","206257832","0","115.993729,40.510531","0","0","0","beijing","北京市延庆县延庆镇（卓家营村西）"
"东海影视乐园","2062906755","0","121.913836,30.95776","0","4","1","shanghai","上海市南汇区东海农场视景路"
"BIGTREE街舞工作室","2063338505","0","120.607001,31.31784","0","0","0","suzhou","江苏苏州市石路金座大厦16006号"
"米奇大街","2063834129","0","0.0,0.0","0","0","0","shanghai",""
"北京自然博物馆","2064074609","0","116.401417,39.883321","0","5","551","beijing","北京市东城区（原崇文区）天桥南大街126号"
"天精地华宠乐园","2064301477","0","116.466801,39.545224","0","0","0","beijing","北京市大兴区礼贤镇柏树庄村"
"悬天飞瀑","2064412420","0","106.629786,30.045195","0","0","0","chongqing","重庆市北碚区金刀峡景区内"
"天石微雕艺术馆","2064876405","0","120.278039,30.169816","0","0","0","hangzhou","浙江省杭州市萧山区近郊城厢街道江寺公园交辉楼"
"托尼洛兰博基尼酒店马可波罗西餐厅","2065009827","0","120.958509,31.389907","0","0","0","suzhou","江苏省昆山市中山路287号"
"观音塘湿地公园","2065073575","0","106.230787,29.560382","0","4.8","21","chongqing","重庆市璧山县"
"鹰嘴岩","2065550012","0","116.79080285183,40.603387745527","0","0","0","beijing","北京市密云县精灵谷自然风景区"
"红砂村花乡农居","2065775051","0","104.16860076844,30.596907750518","0","0","0","chengdu","于锦江区三圣乡红砂村"
